id,inquiry_id,over_head_value,profit_margin_percentage,google_conversion_rate_todate,created_at,updated_at
1,817,,,,2022-12-12 16:01:59,2022-12-12 16:01:59
3,640,,27.5,,2023-01-18 13:20:12,2023-01-18 13:20:12
5,693,0.5,25.0,0.82,2023-01-23 15:18:32,2023-01-23 15:18:32
6,843,0.5,25.0,,2023-01-23 15:31:34,2023-01-23 15:31:34
7,844,0.5,25.0,,2023-01-23 15:33:19,2023-01-23 15:33:19
8,737,1.0,200.0,,2023-01-24 15:16:25,2023-01-24 15:16:25
9,756,1.0,130.0,,2023-01-24 15:22:31,2023-01-24 15:22:31
10,755,1.0,100.0,,2023-01-24 15:28:42,2023-01-24 15:28:42
11,754,1.0,150.0,,2023-01-24 15:31:42,2023-01-24 15:31:42
12,753,1.0,70.0,,2023-01-24 15:33:56,2023-01-24 15:33:56
13,805,1.0,25.4,,2023-01-24 17:09:50,2023-01-24 17:09:50
14,807,1.0,27.1,,2023-01-25 04:07:16,2023-01-25 04:07:16
15,808,1.0,25.4,,2023-01-25 08:14:08,2023-01-25 08:14:08
16,809,1.0,28.4,,2023-01-25 08:16:55,2023-01-25 08:16:55
17,810,1.0,30.7,,2023-01-25 08:19:38,2023-01-25 08:19:38
18,818,1.0,30.2,,2023-01-25 08:21:58,2023-01-25 08:21:58
19,828,1.0,16.5,,2023-01-25 08:39:29,2023-01-25 08:39:29
20,829,1.0,25.75,,2023-01-25 08:47:36,2023-01-25 08:47:36
